modelrun_id,modelrun_alias,geography,area_detail,year,jobs,job_spaces,job_spaces_vacant,job_spaces_vacant_percent,jobs_office,job_spaces_office,job_spaces_office_vacant,job_spaces_office_vacant_percent
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,25.0,2050,49730.0,63255.0,14474.0,0.22881985613785472,14814.0,15469.0,2096.0,0.13549680005171633
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,26.0,2050,101654.0,150805.0,51396.0,0.34081098106826696,27780.0,32813.0,5196.0,0.15835187273336787
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,27.0,2050,44940.0,63329.0,21356.0,0.3372230731576371,6875.0,7820.0,1800.0,0.23017902813299232
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,28.0,2050,19465.0,23840.0,7566.0,0.31736577181208053,3400.0,3771.0,381.0,0.10103420843277645
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,29.0,2050,90939.0,108184.0,17613.0,0.1628059602159284,54341.0,62415.0,8377.0,0.13421453176319795
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,30.0,2050,147505.0,174824.0,28223.0,0.1614366448542534,100113.0,115106.0,15752.0,0.13684777509426094
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,31.0,2050,43924.0,53094.0,10539.0,0.1984970053113346,29515.0,37315.0,7848.0,0.2103175666622002
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,32.0,2050,30747.0,36461.0,5738.0,0.15737363210005212,20589.0,22849.0,2261.0,0.09895400236334194
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,33.0,2050,49884.0,57481.0,7766.0,0.13510551312607644,35631.0,39238.0,3609.0,0.09197716499311892
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,34.0,2050,40317.0,46506.0,6474.0,0.13920784414914206,27849.0,30985.0,3138.0,0.10127481039212523
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,county,Alameda,2050,1070066.0,1290291.0,235151.0,0.1822464854827322,628518.0,658682.0,40107.0,0.060889776857421335
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,county,Contra Costa,2050,497110.0,603106.0,118604.0,0.19665531432285535,281376.0,306905.0,28594.0,0.0931688959124159
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,county,Marin,2050,120948.0,140448.0,19978.0,0.14224481658692184,84069.0,93072.0,9008.0,0.09678528451091628
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,county,Napa,2050,64424.0,87193.0,28927.0,0.33175828334843394,10275.0,11591.0,2181.0,0.188163230092313
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,county,San Francisco,2050,964088.0,1089486.0,140828.0,0.12926095424815004,787091.0,796114.0,14989.0,0.01882770557985414
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,county,San Mateo,2050,618725.0,670291.0,61357.0,0.09153785445425942,451481.0,466863.0,18186.0,0.038953611659094854
